	attr	count
121	a thaliana tissue	7
122	a20 status	47
123	a260/230	78
124	a260/280	78
125	a3243g level of heteroplasmy	11
126	a53t	21
127	aa change cys vs other	26
128	ab	16
129	abbreviation	201
130	abc/gcb/nc subclass	91
131	abc/gcb class	63
132	abdominalfat g	12
133	abeta treatment	13
134	ability to carry out pigr mediated endogenous transport of active siga	17
135	ablation	8
136	abnormality	178
137	abs 260 230 afteramp	320
138	abs 260 280	320
139	abs 260 280 afteramp	320
140	absent	202
141	absent pathogen	7
142	absorbed dose	187
143	abt 263 ec50 um	49
144	abx treatment	31
145	ac response	280
146	accession	1666
147	accession/ecotype	17
148	accession background	7
149	accession for complete og1rf genome	5
150	accession for mapping	73
151	accession name	609
152	accession number	609
153	accessions	5
154	acclimation group	51
155	acclimation temperature	114
156	acclimation temperature celsius	37
157	accrued radiation dose	49
158	ace	41
159	acei	98
160	acenaphthylene ng/m3	36
161	acetylation level	19
162	acid fast bacilli afb smear microscopy	1039
163	acidification treatment	28
164	acini cell type	9
165	acps stage	120
166	acquisition date	156
167	acr response at day 15	207
168	acronym	19
169	actin 3 5	12
170	activated	171
171	activated by	53
172	activated by pha	16
173	activated with	136
174	activating stimulus	92
175	activation	437
176	activation agent	922
177	activation duration	23
178	activation method	154
179	activation protocol	59
180	activation status	68
181	activation stimuli	429
182	activation time	13
183	activator	74
184	activators	231
185	active compound	31
186	active or inactive	78
187	active smoking	47
188	active state	20
189	activin treatment	20
190	activity	110
191	activity level	23
192	activity state	13
193	activity status	9
194	actual rwc	31
195	acute/cultured	22
196	acute 2 tier status	68
197	acute hcv outcome	89
198	acute inflammation during the interventio plasma hscrp 10mg/mlyes/no	55
199	acute leukemia	21
200	acute lymphoblastic leukemia lineage	19
201	acute mat titer	390
202	acute or recovery	44
203	acute treatment	25
204	acyclovir dose	6
205	ad disease status	1229
206	ad type	23
207	adaptaquin concentration	19
208	adaptation status	13
209	adapted for	3
210	adapter	83
211	adapter sequence 3	27
212	adapter sequence 3'	27
213	adapter sequences	9
214	adapters	11
215	adaptor	18
216	adaptor sequence	9
217	adar1 genotype	15
218	adar2 status	4
219	add info	25
220	added gene repressing substance	5
221	added nutrient	6
222	additative	10
223	addition of methylated compounds	19
224	additional clinical information	131
225	additional cytogenetic abnormalities after dasatinib treatment	57
226	additional data	97
227	additional diagnosis	47
228	additional id	35
229	additional info	55
230	additional information	191
231	additional information about cells	10
232	additional neurological diagnosis	51
233	additional processing	11
234	additional stringent wash cycles after first staining first series	19
235	additional stringent wash cycles after second staining second series	19
236	additional treatment	13
237	additive	15
238	ade16 ade17 ade8 his1 knock out mat alpha ade16	5
239	ade16 ade17 knock out mat alpha ade16	8
240	adenocarcinoma permissiveness	12
241	adenocarcinoma type	12
242	adenoma	37
243	adenoma type	8
244	adenosquamous content 0 'no',1 'yes'	118
245	adenosquamous content 0 no, 1 yes	118
246	adenoviral infection	16
247	adenoviral vector	13
248	adenovirus	14
249	adenovirus infection	14
250	adenovirus overexpression construct	9
251	adhesion to plastic	7
252	adiological signs	17
253	adipocyte cells	214
254	adiponectin	569
255	adipose depot	13
256	adipose type	12
257	adir a	38
258	adir b	38
259	adir c	38
260	adir d	38
261	adj chemo	56
262	adj neoadj chemotherapy received	56
263	adjchemotx	3
264	adjhormtx	9
265	adjradtx	16
266	adjuvant chemo	282
267	adjuvant chemotherapy	1343
268	adjuvant chemotherapy 0 no, 1 yes	88
269	adjuvant hormonal therapy with ia 0 no, 1 yes	88
270	adjuvant hormonal therapy with tamox 0 no, 1 yes	88
271	adjuvant hormonotherapy	169
272	adjuvant patient treatment	278
273	adjuvant regimen	15
274	adjuvant rtg therapy 0 no, 1 yes	88
275	adjuvant rx	18
276	adjuvant therapy	517
277	adjuvant treated 0 no, 1 yes	140
278	adjuvant treatment	197
279	adjuwant chemotherapy	102
280	admin note	41
281	administered form	38
282	administrated reagent	9
283	administration	1226
284	administration into mice	30
285	administration route	5345
286	admission date	144
287	adoptive cell therapies act	22
288	ados total score at biopsy	84
289	adrenocortical carcinoma cluster in our analysis	66
290	adult age	177
291	adult bmi	97
292	adult diet	83
293	adult treatment	193
294	adult waist	97
295	advanced disease stage	61
296	advanced disease state	58
297	advanced villous maturity	3
298	adventitious roots length	19
299	aecc ali	63
300	aeff	16
301	aeration condition	20
302	aerobic	5
303	aerobic fitness	31
304	aerosol	13
305	aerosol exposure	9
306	af duration	39
307	af or sr	35
308	afb smear grade	626
309	afb1 exposure	125
310	affected	19
311	affected 1 yes	3
312	affected chromosomes	58
313	affected gene	15
314	affected lymph node	42
315	affected site	27
316	affected status	59
317	affected status disease state	42
318	affected status f4ab/ac 1 na/2 a	121
319	affected, tissue	11
320	affection	5
321	affection status	802
322	affiliated with series gse41994 mrna sample id	107
323	affinity	17
324	affinity purification	42
325	affinity purification method	37
326	affinity purification reagent	5
327	affinity purification using	5
328	affinity selection	14
329	affinity tag	12
330	affinity tag in derived hela cells	19
331	affx b actinmur 3/5	202
332	affx b actinmur 3'/5'	202
333	affx gapdhmur 3/5	202
334	affx gapdhmur 3'/5'	202
335	affy batch	799
336	affy chip	41
337	affymetrix id	183
338	afi cm closest to delivery	10
339	afp	357
340	afp 400	50
341	afp at baseline ng/ml 400 1,400 2	21
342	afp ng/ml	49
343	after administration	20
344	after thawing, the cell lines were cultivated at 33 degrees c because of thermosensitive sv 40 t antigen to obtain a sufficient cell number for the experiment approximately 3 107 cells before confluen	2
345	ag specificity	5
346	agasga	61
347	age	360547
348	age/65	131
349	age/developmental stage	55
350	age/disease timepoint	43
351	age/gender	71
352	age/sex	36
353	age/size	17
354	age/weight	6
355	age 1	862
356	age 1/50y, 0 50y	69
357	age 1 b	267
358	age 1 greater than or equal to 50y, 0 less than 50y	63
359	age 1 pfc 1	3
360	age 1 pfu 1	3
361	age 1 pfu 2	3
362	age 1 pvc 1	3
363	age 1 pvu 1	3
364	age 2 pfc 2	3
365	age 2 pvc 2	3
366	age 3 pfc 3	3
367	age 3 pvc 3	3
368	age 4 pfc 4	3
369	age 4 pvc 4	3
370	age 5 pfc 5	3
371	age 5 pvc 5	3
372	age 6 pfc 6	3
373	age 6 pvc 6	3
374	age 7 pfc 7	3
375	age 7 pvc 7	3
376	age 8 pfc 8	3
377	age 9 pfc 9	3
378	age 90 greater than or equal to 90	118
379	age acceleration vs controls	114
380	age acceleration vs controls in children	114
381	age acceleration with respect to noncerebellar samples	262
382	age after birth	19
383	age and sex	5
384	age approx	109
385	age at 1st diagnosis	118
386	age at 2nd diagnosis	37
387	age at aml diagnosis	75
388	age at baseline	317
389	age at biopsy	139
390	age at biopsy date	40
391	age at biopsy years	31
392	age at blood draw	84
393	age at blood drawing months	286
394	age at blood sample collection	159
395	age at blood withdrawal	11
396	age at blooddraw	201
397	age at breast cancer dx	85
398	age at cancer diagnosis	244
399	age at cancer diagnosis yrs	1175
400	age at collection	110
401	age at collection months	1027
402	age at death	519
403	age at death days	101
404	age at death in years	2584
405	age at death y	34
406	age at death years	26
407	age at death yrs	26
408	age at diag	272
409	age at diagnosis	11508
410	age at diagnosis days	15
411	age at diagnosis in years	73
412	age at diagnosis months	323
413	age at diagnosis y	229
414	age at diagnosis year	78
415	age at diagnosis years	1235
416	age at diagnosis yrs	604
417	age at diagnosis, years	55
418	age at diagonosis years	52
419	age at disease onset	53
420	age at dosing	90
421	age at draw	85
422	age at draw years	97
423	age at drawing	123
424	age at dx	554
425	age at dx years	168
426	age at enrollment	366
427	age at enrollment days	48
428	age at enrollment years	1259
429	age at enucleation years	29
430	age at examination	72
431	age at examination years	68
432	age at excision years	151
433	age at first birth	211
434	age at ga therapy onset baseline blood sampling	38
435	age at harvest	43
436	age at ifn beta therapy onset baseline blood sampling	542
437	age at incident	50
438	age at inclusion	8
439	age at infection	112
440	age at infection yrs	61
441	age at initial diagnosis	58
442	age at initial dose	39
443	age at injection	32
444	age at inoculum	24
445	age at interview	201
446	age at interview blood sampling	25
447	age at irradiation	14
448	age at menarche	754
449	age at metastases	82
450	age at mi	7
451	age at onset	951
452	age at onset years	235
453	age at op	153
454	age at operation	240
455	age at operation yrs	225
456	age at presentation	64
457	age at primary diagnosis	82
458	age at prostatectomy years	59
459	age at ptc operation	66
460	age at radiation	49
461	age at rc	95
462	age at registration	39
463	age at relapse diagnosis years	61
464	age at rna harvest	37
465	age at rna isolation	65
466	age at sacrafice	11
467	age at sacrifice	93
468	age at sacrifice days	10
469	age at sample months	729
470	age at sample y	25
471	age at sampling	49
472	age at specimen collection	75
473	age at start	41
474	age at start of experiment	146
475	age at start of treatment	10
476	age at start therapy	213
477	age at stroke surgery	19
478	age at study entry, in yrs	262
479	age at study start	11
480	age at surgery	1561
481	age at surgery yr	51
482	age at surgery yrs	87
483	age at the end of treatment	10
484	age at the time of surgery	29
485	age at the time of surgery years	25
486	age at the timeof infection	31
487	age at time of resection	84
488	age at time of rnai	34
489	age at time of sacrifice	16
490	age at tissue collection	21
491	age at tissue collection days	29
492	age at tissue collection years	45
493	age at transplant	97
494	age at tumor	11
495	age at vaccination	21
496	age at weaning	56
497	age average	73
498	age bin	218
499	age blood	1229
500	age brain	1229
501	age category	130
502	age class	196
503	age class at diagnosis infant 4 yrs	42
504	age classification	27
505	age day	230
506	age days	1267
507	age days after flowering	28
508	age days old	42
509	age days post conception	317
510	age days post eclosion	13
511	age days post natal	46
512	age days post natum	38
513	age description	600
514	age diagnosis	350
515	age diagnosis month	66
516	age diet commenced	3
517	age dph	31
518	age dx	47
519	age enroll	137
520	age exposure	25
521	age group	1761
522	age group years	119
523	age h	13
524	age harvested days	71
525	age high salt diet commenced	4
526	age hours after egg laying	109
527	age impairment	80
528	age in 2011	185
529	age in days	168
530	age in days at diagnosis	208
531	age in days post partum	38
532	age in month	11
533	age in months	116
534	age in vitro	13
535	age in weeks	74
536	age in years	4871
537	age induced days	71
538	age instar	12
539	age menarche	267
540	age menopause	267
541	age month	2951
542	age month at surgery	52
543	age months	2088
544	age mos	385
545	age mother	38
546	age mouse	73
547	age ms csf	11
548	age of animals	17
549	age of animals at biopsy	3
550	age of biopsy	97
551	age of blood draw	47
552	age of culture	196
553	age of death	89
554	age of diagnosis	85
555	age of diagnosis year	116
556	age of disease onset	19
557	age of disease onset percentile	19
558	age of donor	11
559	age of embryo	39
560	age of enrollment	755
561	age of epilepsy duration yr	19
562	age of epilepsy onset yr	19
563	age of examination, not current age	9
564	age of ffpe block years	29
565	age of ffpe tissue	68
566	age of fly in days post eclosion	11
567	age of human sera	26
568	age of ipi yr/mo	19
569	age of mice	18
570	age of mice wk	15
571	age of mouse	93
572	age of onset	251
573	age of onset of persistent ps aer or censored age	755
574	age of onset years	87
575	age of patient	79
576	age of patient at diagnosis years	11
577	age of plant	13
578	age of plants	24
579	age of psoriasis onset	53
580	age of punction	17
581	age of rat	13
582	age of sampling	130
583	age of source	4
584	age of start of experiment	92
585	age of starting material years	25
586	age of subjects	7
587	age of surgery	60
588	age of the clone	5
589	age of the mice	8
590	age of the patient at diagnosis months	166
591	age of tissue donor	12
592	age of trees	171
593	age of woman years	26
594	age offspring	36
595	age on study	235
596	age onset	21
597	age or tumor stage	10
598	age pn postnatal days	37
599	age post hatch	34
600	age post partum	39
601	age postnatal day	88
602	age postnatal days	72
603	age pup	15
604	age put on diet	2
605	age quit smoking	64
606	age range	104
607	age range yrs	19
608	age rapamycin exposure	41
609	age sacrificed	19
610	age seedlings	7
611	age sex	5
612	age subgroup	13
613	age time point	68
614	age tx	157
615	age unit	55
616	age week	96
617	age weeks	2074
618	age weeks of gestation	17
619	age weight	7
620	age when sampled	27
621	age when treatment starts	37
622	age wk	34
623	age wks	9
624	age x ray exposure	41
625	age y	6450
626	age y years d days	13
627	age year	695
628	age years	15101
629	age years/gender	4
630	age years at surgery	29
631	age yr	1155
632	age yr old	67
633	age yrs	15211
634	age yrs at dasatinib start	57
635	age yrs at rrp	1193
636	age, days	23
637	age, year	40
638	age, years	163
639	age, yrs	13
640	ageaccelerationdsvscontrols	72
641	ageaccelerationdsvscontrolsincrbm	72
642	ageaccelerationdsvscontrolsinfrontalcortex	72
643	ageaccelerationdsvscontrolsotherregions	72
644	ageaccelerationresidual	639
645	ageaccelerationresidualbasedontrainingandtestdata	81
646	ageaccelerationresidualwithrespecttocontrols	131
647	ageaccelerationresidualwithrespecttocontrolscrbmonly	73
648	ageaccelerationresidualwithrespecttocontrolsoccipitalonly	131
649	ageaccelerationvscaucasian	47
650	ageaccelerationvscaucasianuniversal	311
651	ageaccelerationvscontrols	148
652	ageatdiagnosis	594
653	ageatdraw	49
654	ageatdraw yrs	283
655	ageatdx	108
656	ageatinfection	137
657	ageatrecruitment	541
658	ageatsampling	271
659	agebin	246
660	agebloodtaken	189
661	aged	9
662	aged 24 26 months old cognitively impaired male long evans rats charles river laboratories, raleigh, nc were individually housed on a 12	28
663	aged 24 26 months old cognitively unimpaired male long evans rats charles river laboratories, raleigh, nc were individually housed on a 12	24
664	aged week number of individuals	92
665	agedecade	138
666	agedx	20
667	agegap	189
668	agegroup	803
669	agegroupatsampledraw	541
670	agegrp	61
671	ageing at 29 c in days	37
672	agen	9
673	agender	19
674	agenotype	19
675	agent	45169
676	agent/dose	66
677	agent/injection	5
678	agent/stress	9
679	agent 1	17
680	agent 2	15
681	agent batch	12
682	agent carbon source	13
683	agent compound	13
684	agent compound added	19
685	agent concentration	42
686	agent dose	389
687	agent dose during exposure phase	59
688	agent dose mg/l	50
689	agent dose mg rdx/kg body weight	284
690	agent during exposure phase	73
691	agent mother exposed to	15
692	agent pi3k inhibitor	41
693	agent post transduction	22
694	agent reprogramming factor	19
695	agent stimulus	33
696	agent time	48
697	agent treatment	14
698	agents	14
699	ageofoperation	133
700	agestatus	194
701	ageunit	7
702	ageunits	137
703	ageyear	194
704	aggregation status	7
705	aggressive feather pecking	180
706	aggressive laryngeal squamous cell carcinoma lscc	2
707	aggressiveness of disease	21
708	agitation speed	7
709	agonist	107
710	agonist/conditions	13
711	agouti a allele	9
712	agre blood id	24
713	agre id	39
714	agreeableness	120
715	ahr	38
716	ai	155
717	aim2 expression	4
718	air condition	49
719	air volume/culture volume/min	7
720	aire locus	191
721	airn length	8
722	airway distance from tumor 1, closest 5, farthest	97
723	airway region	21
724	airway site	392
725	ajcc	31
726	ajcc ajcc stage	119
727	ajcc classif 2002	27
728	ajcc m stage	43
729	ajcc stage	1222
730	ajcc stage 7th edition, 2010	411
731	ajcc staging	133
732	ajcc uicc stage	151
733	ajcc2	104
734	ajcc4	104
735	aki	84
736	akt/mtor module tertile	121
737	akt1 mutation	271
738	alb	1040
739	albino lewis rats were raised from birth under normal laboratory conditions, in a diurnal environment age	5
740	albumin	231
741	albumin 0h	119
742	albumin 1h	119
743	albumin 2h	119
744	albumin g/l	60
745	albumin level	132
746	alcday	120
747	alcohol	1872
748	alcohol abuse	157
749	alcohol abuse ratings scale	87
750	alcohol consumption	378
751	alcohol cumulative intake	122
752	alcohol drinking	226
753	alcohol drinks per week	362
754	alcohol exposure	11
755	alcohol habits	87
756	alcohol history	73
757	alcohol intake	300
758	alcohol preference	288
759	alcohol use	943
760	alcool intake	125
761	ald	997
762	aldefluor assay	3
763	aldefluor level	8
764	aldh	28
765	aldh expression	16
766	aldh status	22
767	alexa 555 dye	17
768	alexa 647 dye	17
769	alias	67
770	aliases	17
771	aligned reads picard	36
772	alignment program	13
773	alignment tool	5
774	aliquot	13
775	alive	61
776	alive/dead at the end of recorded survival	140
777	alive at endpoint	422
778	alive or dead	36
779	alive status	50
780	alk mutation status	21
781	alk positivity	32
782	all blast cells from	337
783	all cytogenetic subtype	53
784	all lineage	30
785	all lymph nodes	100
786	all patients 1 included in survival analysis	499
787	all rez bfm risk group	61
788	all subtype	202
789	all type	238
790	alldeath	104
791	allel	9
792	allele	390
793	allele type	121
794	allels	17
795	allen science vignette cell id	1810
796	allergen	176
797	allergies	285
798	allo bmt	75
799	allocated treatment	129
800	allocated treatment	129
801	allogeneic state	19
802	allogeneic stem cell transplantation mud	103
803	allotype	5
804	alopecia	997
805	alopecia improvement pct	12
806	alopecia score post impovement	12
807	alp concentration	19
808	alpha fetoprotein afp	11
809	alpha fetoprotein levels	232
810	als mutation	54
811	alsfrs	51
812	also known as	30
813	alt	1142
814	alt id	70
815	alt status	11
816	alt u/l range	10
817	alternate id	4
818	alternative identifier	207
819	alternative name	15
820	altitude	34
821	alum mg/ml	90
822	aluminum sensitivity	70
823	alzheimer s disease stage	13
824	alzheimer's disease stage	13
825	ambient temperature	13
826	ambient temperature at 34 days	65
827	ambient temperature at 34 days degrees c	65
828	ambion catalog number	243
829	amd classification	294
830	amino acid	7
831	aml class	59
832	aml fab classification	71
833	aml normal karyotype test set fab m0 age 66 years os 979 days status 0 alive/1 dead	3
834	aml normal karyotype test set fab m1 age 18 years os 1188 days status 0 alive/1 dead	3
835	aml normal karyotype test set fab m1 age 22 years os 271 days status 0 alive/1 dead	3
836	aml normal karyotype test set fab m1 age 41 years os 919 days status 0 alive/1 dead	3
837	aml normal karyotype test set fab m1 age 45 years os 33 days status 0 alive/1 dead	3
838	aml normal karyotype test set fab m1 age 50 years os 473 days status 0 alive/1 dead	3
839	aml normal karyotype test set fab m1 age 52 years os 33 days status 0 alive/1 dead	3
840	aml normal karyotype test set fab m1 age 55 years os 114 days status 0 alive/1 dead	3
841	aml normal karyotype test set fab m1 age 55 years os 308 days status 0 alive/1 dead	3
842	aml normal karyotype test set fab m1 age 59 years os 21 days status 0 alive/1 dead	3
843	aml normal karyotype test set fab m1 age 62 years os 253 days status 0 alive/1 dead	3
844	aml normal karyotype test set fab m1 age 62 years os 5 days status 0 alive/1 dead	3
845	aml normal karyotype test set fab m1 age 63 years os 1405 days status 0 alive/1 dead	3
846	aml normal karyotype test set fab m1 age 65 years os 787 days status 0 alive/1 dead	3
847	aml normal karyotype test set fab m1 age 66 years os 1441 days status 0 alive/1 dead	3
848	aml normal karyotype test set fab m1 age 67 years os 1427 days status 0 alive/1 dead	3
849	aml normal karyotype test set fab m1 age 69 years os 2 days status 0 alive/1 dead	3
850	aml normal karyotype test set fab m1 age 69 years os 624 days status 0 alive/1 dead	3
851	aml normal karyotype test set fab m1 age 74 years os 72 days status 0 alive/1 dead	3
852	aml normal karyotype test set fab m1 age 75 years os 259 days status 0 alive/1 dead	3
853	aml normal karyotype test set fab m1 age 77 years os 330 days status 0 alive/1 dead	3
854	aml normal karyotype test set fab m1 age 77 years os 815 days status 0 alive/1 dead	3
855	aml normal karyotype test set fab m1 age 79 years os 36 days status 0 alive/1 dead	3
856	aml normal karyotype test set fab m1 age 85 years os 500 days status 0 alive/1 dead	3
857	aml normal karyotype test set fab m2 age 24 years os 1183 days status 0 alive/1 dead	3
858	aml normal karyotype test set fab m2 age 32 years os 471 days status 0 alive/1 dead	3
859	aml normal karyotype test set fab m2 age 36 years os 457 days status 0 alive/1 dead	3
860	aml normal karyotype test set fab m2 age 40 years os 1173 days status 0 alive/1 dead	3
861	aml normal karyotype test set fab m2 age 42 years os 241 days status 0 alive/1 dead	3
862	aml normal karyotype test set fab m2 age 47 years os 1168 days status 0 alive/1 dead	3
863	aml normal karyotype test set fab m2 age 49 years os 96 days status 0 alive/1 dead	3
864	aml normal karyotype test set fab m2 age 50 years os 1448 days status 0 alive/1 dead	3
865	aml normal karyotype test set fab m2 age 50 years os 1518 days status 0 alive/1 dead	3
866	aml normal karyotype test set fab m2 age 50 years os 516 days status 0 alive/1 dead	3
867	aml normal karyotype test set fab m2 age 51 years os 1383 days status 0 alive/1 dead	3
868	aml normal karyotype test set fab m2 age 54 years os 1278 days status 0 alive/1 dead	3
869	aml normal karyotype test set fab m2 age 60 years os 301 days status 0 alive/1 dead	3
870	aml normal karyotype test set fab m2 age 61 years os 1403 days status 0 alive/1 dead	3
871	aml normal karyotype test set fab m2 age 61 years os 169 days status 0 alive/1 dead	3
872	aml normal karyotype test set fab m2 age 62 years os 1080 days status 0 alive/1 dead	3
873	aml normal karyotype test set fab m2 age 62 years os 342 days status 0 alive/1 dead	3
874	aml normal karyotype test set fab m2 age 62 years os 36 days status 0 alive/1 dead	3
875	aml normal karyotype test set fab m2 age 62 years os 606 days status 0 alive/1 dead	3
876	aml normal karyotype test set fab m2 age 63 years os 448 days status 0 alive/1 dead	3
877	aml normal karyotype test set fab m2 age 64 years os 1019 days status 0 alive/1 dead	3
878	aml normal karyotype test set fab m2 age 64 years os 1300 days status 0 alive/1 dead	3
879	aml normal karyotype test set fab m2 age 64 years os 74 days status 0 alive/1 dead	3
880	aml normal karyotype test set fab m2 age 66 years os 132 days status 0 alive/1 dead	3
881	aml normal karyotype test set fab m2 age 67 years os 141 days status 0 alive/1 dead	3
882	aml normal karyotype test set fab m2 age 67 years os 210 days status 0 alive/1 dead	3
883	aml normal karyotype test set fab m2 age 68 years os 1508 days status 0 alive/1 dead	3
884	aml normal karyotype test set fab m2 age 70 years os 538 days status 0 alive/1 dead	3
885	aml normal karyotype test set fab m2 age 71 years os 1118 days status 0 alive/1 dead	3
886	aml normal karyotype test set fab m2 age 71 years os 1374 days status 0 alive/1 dead	3
887	aml normal karyotype test set fab m2 age 72 years os 256 days status 0 alive/1 dead	3
888	aml normal karyotype test set fab m2 age 72 years os 396 days status 0 alive/1 dead	3
889	aml normal karyotype test set fab m2 age 72 years os 403 days status 0 alive/1 dead	3
890	aml normal karyotype test set fab m2 age 81 years os 14 days status 0 alive/1 dead	3
891	aml normal karyotype test set fab m4 age 34 years os 1085 days status 0 alive/1 dead	3
892	aml normal karyotype test set fab m4 age 39 years os 1202 days status 0 alive/1 dead	3
893	aml normal karyotype test set fab m4 age 55 years os 1092 days status 0 alive/1 dead	3
894	aml normal karyotype test set fab m4 age 59 years os 1 days status 0 alive/1 dead	3
895	aml normal karyotype test set fab m4 age 59 years os 406 days status 0 alive/1 dead	3
896	aml normal karyotype test set fab m4 age 62 years os 1056 days status 0 alive/1 dead	3
897	aml normal karyotype test set fab m4 age 69 years os 624 days status 0 alive/1 dead	3
898	aml normal karyotype test set fab m4 age 74 years os 1175 days status 0 alive/1 dead	3
899	aml normal karyotype test set fab m4 age 74 years os 52 days status 0 alive/1 dead	3
900	aml normal karyotype test set fab m4 age 75 years os 40 days status 0 alive/1 dead	3
901	aml normal karyotype test set fab m4 age 79 years os 4 days status 0 alive/1 dead	3
902	aml normal karyotype test set fab m5 age 55 years os 303 days status 0 alive/1 dead	3
903	aml normal karyotype test set fab m5 age 55 years os 539 days status 0 alive/1 dead	3
904	aml normal karyotype test set fab m5 age 59 years os 388 days status 0 alive/1 dead	3
905	aml normal karyotype test set fab m5 age 68 years os 4 days status 0 alive/1 dead	3
906	aml normal karyotype test set fab m5 age 74 years os 937 days status 0 alive/1 dead	3
907	aml normal karyotype test set fab m5 age 75 years os 113 days status 0 alive/1 dead	3
908	aml normal karyotype test set fab m6 age 36 years os 1133 days status 0 alive/1 dead	3
909	aml normal karyotype test set fab m6 age 56 years os 1304 days status 0 alive/1 dead	3
910	aml normal karyotype test set fab m6 age 66 years os 398 days status 0 alive/1 dead	3
911	aml onset	75
912	aml sample identifier	118
913	aml subtype	324
914	aml subtypes	11
915	aml transformation	88
916	aml type	91
917	aml, normal karyotype training set fab m0 age 34 years os 1176 days status 0 alive/1 dead	5
918	aml, normal karyotype training set fab m0 age 44 years os 741 days status 0 alive/1 dead	5
919	aml, normal karyotype training set fab m0 age 52 years os 56 days status 0 alive/1 dead	5
920	aml, normal karyotype training set fab m0 age 62 years os 257 days status 0 alive/1 dead	5
921	aml, normal karyotype training set fab m0 age 64 years os 761 days status 0 alive/1 dead	5
922	aml, normal karyotype training set fab m1 age 26 years os 317 days status 0 alive/1 dead	5
923	aml, normal karyotype training set fab m1 age 28 years os 425 days status 0 alive/1 dead	5
924	aml, normal karyotype training set fab m1 age 29 years os 1176 days status 0 alive/1 dead	5
925	aml, normal karyotype training set fab m1 age 32 years os 916 days status 0 alive/1 dead	5
926	aml, normal karyotype training set fab m1 age 38 years os 1176 days status 0 alive/1 dead	5
927	aml, normal karyotype training set fab m1 age 38 years os 581 days status 0 alive/1 dead	5
928	aml, normal karyotype training set fab m1 age 39 years os 608 days status 0 alive/1 dead	5
929	aml, normal karyotype training set fab m1 age 40 years os 33 days status 0 alive/1 dead	5
930	aml, normal karyotype training set fab m1 age 45 years os 238 days status 0 alive/1 dead	5
931	aml, normal karyotype training set fab m1 age 46 years os 17 days status 0 alive/1 dead	5
932	aml, normal karyotype training set fab m1 age 47 years os 285 days status 0 alive/1 dead	5
933	aml, normal karyotype training set fab m1 age 47 years os 416 days status 0 alive/1 dead	5
934	aml, normal karyotype training set fab m1 age 48 years os 41 days status 0 alive/1 dead	5
935	aml, normal karyotype training set fab m1 age 49 years os 107 days status 0 alive/1 dead	5
